"HMM"	"PS"
"XP_042343388.1"	0	2591
"XP_042343458.1"	97	2716
"XP_042343474.1"	0	3478
"XP_042343678.1"	0	3520
"XP_042343720.1"	0	3189
"XP_042344553.1"	96.2	2635
"XP_042344620.1"	44.6	2216
"XP_042344656.1"	0	2958
"XP_042345105.1"	36.5	2037
"XP_042346156.1"	0	3227
"XP_042346274.1"	98.5	2564
"XP_042346357.1"	0	3274
"XP_042346432.1"	0	3355
"XP_042346888.1"	25.2	0
"XP_042347261.1"	0	3203
"XP_042347419.1"	9.6	0
"XP_042347802.1"	0	3401
"XP_042349047.1"	0	3012
"XP_042349050.1"	0	2709
"XP_042349731.1"	0	2074
"XP_042352332.1"	0	2272
"XP_042352536.1"	0	2977
"XP_042353183.1"	0	2727
"XP_042353296.1"	0	3209
"XP_042354281.1"	0	1720
"XP_042354318.1"	0	1947
"XP_042354671.1"	0	3448
"XP_042355346.1"	0	1871
"XP_042355961.1"	72.6	1981
"XP_042356526.1"	0	2107
"XP_042357025.1"	0	3769
"XP_042358750.1"	38.5	1877
"XP_042358967.1"	0	2503
"XP_042359995.1"	97.9	2597
"XP_042360205.1"	0	2915
"XP_042360787.1"	0	1798
"XP_042361174.1"	0	3037
"XP_042361913.1"	0	3219
"XP_042362212.1"	106	2704
"XP_042362671.1"	0	3587
"XP_042362676.1"	0	3576
"XP_042362738.1"	90.6	2546
"XP_042362937.1"	0	2512
"XP_042363369.1"	299.6	1917
"XP_042363613.1"	0	2942
"XP_042364660.1"	0	3019
"XP_042364678.1"	98.3	2741
"XP_042365400.1"	0	2874
"XP_042365510.1"	0	2462
"XP_042365963.1"	103.8	2443
"XP_042367266.1"	0	2312
"XP_042367665.1"	94.8	2233
"XP_042369349.1"	0	3107
"XP_042370185.1"	59.4	1408
"XP_042370488.1"	0	2647
"XP_042370637.1"	0	2231
"XP_042371461.1"	0	1797
"XP_042371553.1"	0	1742
"XP_042558803.1"	146.7	0
"XP_042559724.1"	0	3216
"XP_042560636.1"	0	2551
"XP_042560855.1"	0	3105
"XP_042562046.1"	0	2587
"XP_042562050.1"	0	2587
"XP_042562947.1"	85.3	2162
"XP_042563116.1"	0	2136
"XP_042563337.1"	306.4	2972
"XP_042563634.1"	23.1	0
"XP_042563773.1"	97.4	2411
"XP_042563778.1"	0	2125
"XP_042564558.1"	81.7	1588
"XP_042564839.1"	0	3230
"XP_042565396.1"	0	3485
"XP_042565441.1"	314.8	3044
"XP_042566022.1"	80.6	1948
"XP_042566109.1"	0	2724
"XP_042566439.1"	306.2	2846
"XP_042566669.1"	0	3063
"XP_042567024.1"	0	3647
"XP_042568521.1"	63.7	2082
"XP_042569208.1"	0	3305
"XP_042570155.1"	96.9	2785
"XP_042570194.1"	0	3176
"XP_042571035.1"	160.6	1987
"XP_042571284.1"	0	2442
"XP_042572959.1"	0	3365
"XP_042573355.1"	0	1518
"XP_042573894.1"	0	3003
"XP_042575802.1"	0	3192
"XP_042577018.1"	0	1961
"XP_042577426.1"	0	2025
"XP_042578153.1"	0	2447
"XP_042578168.1"	0	3192
"XP_042578399.1"	0	2432
"XP_042578718.1"	85.9	1752
"XP_042578821.1"	0	1450
"XP_042579306.1"	0	1895
"XP_042579755.1"	0	2897
"XP_042579972.1"	0	3564
"XP_042580314.1"	0	2853
"XP_042580474.1"	41.1	2154
"XP_042580766.1"	102.1	2729
"XP_042580927.1"	0	1960
"XP_042581698.1"	0	1955
"XP_042582763.1"	38.4	0
"XP_042585010.1"	0	2005
"XP_042585092.1"	96.7	2612
"XP_042585130.1"	0	2721
"XP_042585610.1"	0	3428
"XP_042585732.1"	0	3651
"XP_042585927.1"	0	3100
"XP_042586228.1"	49.9	2020
"XP_042587914.1"	39.1	1637
"XP_042588322.1"	0	3492
"XP_042588761.1"	71.7	1681
"XP_042588878.1"	0	2057
"XP_042589002.1"	0	2957
"XP_042589170.1"	0	3155
"XP_042590021.1"	91.1	2345
"XP_042592573.1"	0	3680
"XP_042593155.1"	35.8	2050
"XP_042593406.1"	0	2597
"XP_042595416.1"	0	3595
"XP_042595808.1"	48.1	1752
"XP_042595860.1"	0	3278
"XP_042596036.1"	93.8	1983
"XP_042596652.1"	0	3286
"XP_042596795.1"	0	3283
"XP_042598499.1"	0	2896
"XP_042598532.1"	0	2501
"XP_042599515.1"	74.8	2036
"XP_042600993.1"	0	3538
"XP_042601068.1"	104	2352
"XP_042601891.1"	0	3341
"XP_042601922.1"	0	2797
"XP_042602771.1"	72.7	1888
"XP_042603556.1"	0	3589
"XP_042603687.1"	0	3443
"XP_042604294.1"	0	1549
"XP_042607223.1"	0	3305
"XP_042607779.1"	0	3176
"XP_042608448.1"	0	2919
"XP_042609162.1"	0	2380
"XP_042609797.1"	0	2950
"XP_042610116.1"	0	2762
"XP_042610190.1"	0	2701
"XP_042610368.1"	0	2718
"XP_042610377.1"	0	2941
"XP_042610477.1"	0	2984
"XP_042610641.1"	0	1980
"XP_042610748.1"	0	1984
"XP_042610859.1"	0	2719
"XP_042611224.1"	69.3	1816
"XP_042611232.1"	0	1976
"XP_042611326.1"	0	3339
"XP_042611541.1"	0	3450
"XP_042611671.1"	96.3	2700
"XP_042611726.1"	0	3298
"XP_042611727.1"	0	3567
"XP_042612100.1"	0	2017
"XP_042612183.1"	98.4	2683
"XP_042612411.1"	0	2758
"XP_042612507.1"	42.4	2289
"XP_042612743.1"	101.4	2696
"XP_042613164.1"	97.3	2489
"XP_042614000.1"	0	1955
"XP_042614002.1"	0	1480
"XP_042616338.1"	39.8	1466
"XP_042617438.1"	96.7	2612
"XP_042618250.1"	0	3577
"XP_042618443.1"	0	2991
"XP_042618807.1"	55.7	1807
"XP_042620834.1"	0	3570
"XP_042621333.1"	0	3019
"XP_042621657.1"	0	3155
"XP_042622375.1"	89.8	2543
"XP_042623256.1"	306.2	2689
"XP_042624656.1"	0	3125
"XP_042625770.1"	0	2443
"XP_042625963.1"	0	2515
"XP_042626360.1"	0	1974
"XP_042626445.1"	0	3122
"XP_042627091.1"	0	3642
"XP_042627431.1"	47.7	1650
"XP_042627705.1"	0	3337
"XP_042628137.1"	0	3265
"XP_042628289.1"	0	3257
"XP_042628737.1"	40.5	2148
"XP_042629578.1"	0	2860
"XP_042630571.1"	0	3071
"XP_042630840.1"	78	2072
"XP_042631844.1"	0	3538
"XP_042632307.1"	0	3650
"XP_042632310.1"	0	3399
"XP_042632311.1"	0	3478
"XP_042633080.1"	101.4	2286
"XP_042633297.1"	0	3116
"XP_042634296.1"	67.4	1739
"XP_042634764.1"	0	3453
"XP_043072996.1"	18.3	0
"XP_043073342.1"	0	3399
"XP_043073450.1"	0	3497
"XP_043074272.1"	0	3488
"XP_043074278.1"	70.5	1740
"XP_043074714.1"	0	2956
"XP_043076455.1"	0	2350
"XP_043076478.1"	47.7	1754
"XP_043077359.1"	0	3602
"XP_043077870.1"	0	2998
"XP_043078086.1"	0	3410
"XP_043080251.1"	0	3305
"XP_043080838.1"	63	2082
"XP_043081179.1"	0	3305
"XP_043082146.1"	0	3176
"XP_043082672.1"	0	2945
"XP_043082991.1"	97.6	2604
"XP_043083568.1"	0	2375
"XP_043083672.1"	159.6	1981
"XP_043087493.1"	0	3128
"XP_043087539.1"	0	1739
"XP_043089043.1"	0	3538
"XP_043089138.1"	0	2804
"XP_043089641.1"	0	2897
"XP_043090865.1"	0	2024
"XP_043091797.1"	0	3192
"XP_043092455.1"	0	1789
"XP_043093237.1"	0	2670
"XP_043093537.1"	0	2518
"XP_043093906.1"	90.1	1951
"XP_043094280.1"	42.2	2289
"XP_043094639.1"	102.5	2729
"XP_043094723.1"	0	2910
"XP_043096386.1"	0	3583
"XP_043096825.1"	0	2859
"XP_043098320.1"	0	1907
"XP_043099212.1"	35	0
"XP_043102302.1"	0	2991
"XP_043102314.1"	96.5	2632
"XP_043102441.1"	0	3437
"XP_043102458.1"	0	3577
"XP_043102712.1"	0	2616
"XP_043103616.1"	51.4	2071
"XP_043103985.1"	0	3096
"XP_043105871.1"	75.9	1720
"XP_043105890.1"	0	2348
"XP_043106013.1"	0	3019
"XP_043106485.1"	0	3492
"XP_043107988.1"	89.1	2429
"XP_043108580.1"	0	2771
"XP_043109640.1"	305.9	2677
"XP_043110658.1"	35.6	2031
"XP_043112093.1"	0	3714
"XP_043112842.1"	0	2448
"XP_043112943.1"	0	3242
"XP_043114520.1"	0	3607
"XP_043114866.1"	0	3337
"XP_043115294.1"	51.1	1706
"XP_043116117.1"	99.7	2715
"XP_043116377.1"	0	3286
"XP_043116404.1"	41.4	2099
"XP_043117315.1"	0	3373
"XP_043117357.1"	99.6	2715
"XP_043118696.1"	0	2647
"XP_043118831.1"	0	2892
"XP_043119069.1"	0	2147
"XP_043120772.1"	0	2575
"XP_043121020.1"	77.8	2140
"XP_043867733.1"	98.2	2693
"XP_043868154.1"	0	3603
"XP_043868274.1"	0	3123
"XP_043868540.1"	0	2937
"XP_043868941.1"	0	2341
"XP_043868955.1"	0	2981
"XP_043869619.1"	289.8	1689
"XP_043871445.1"	0	2643
"XP_043871653.1"	0	3445
"XP_043873171.1"	90	1725
"XP_043873415.1"	0	2649
"XP_043873429.1"	0	2649
"XP_043874214.1"	42.3	2201
"XP_043874456.1"	0	2649
"XP_043875425.1"	0	2740
"XP_043877627.1"	0	2319
"XP_043878632.1"	93.2	2161
"XP_043879146.1"	0	2889
"XP_043879326.1"	0	2007
"XP_043879447.1"	0	2643
"XP_043880110.1"	90.2	2533
"XP_043881002.1"	0	1796
"XP_043881214.1"	0	2964
"XP_043881405.1"	96.6	2684
"XP_043881645.1"	0	3498
"XP_043881971.1"	0	2689
"XP_043882517.1"	97.2	2711
"XP_043882710.1"	0	3327
"XP_043882977.1"	0	3023
"XP_043885474.1"	0	2673
"XP_043886383.1"	0	2627
"XP_043886992.1"	0	2878
"XP_043887004.1"	0	3012
"XP_043887811.1"	65.3	1770
"XP_043888250.1"	69.8	2113
"XP_043889718.1"	0	3115
"XP_043889856.1"	0	3355
"XP_043890415.1"	0	3312
"XP_043890961.1"	95.8	2411
"XP_043891008.1"	35	1993
"XP_043891874.1"	154.9	2028
"XP_043893062.1"	0	2235
"XP_043893157.1"	0	2878
"XP_043893447.1"	0	3176
"XP_043893514.1"	47.5	2143
"XP_043893832.1"	99.9	2358
"XP_043893964.1"	0	3203
"XP_043894982.1"	0	3479
"XP_043895642.1"	0	2980
"XP_043895843.1"	0	3281
"XP_043896590.1"	89.4	2312
"XP_043897016.1"	0	2347
"XP_043897107.1"	0	2789
"XP_043897179.1"	0	1998
"XP_043897461.1"	0	2445
"XP_043897903.1"	68.7	1783
"XP_043898796.1"	0	3385
"XP_043899176.1"	61.3	2100
"XP_043899618.1"	10.8	0
"XP_043902496.1"	36.3	2006
"XP_043902685.1"	0	3783
"XP_043903649.1"	0	2128
"XP_043905049.1"	0	2413
"XP_043906366.1"	0	2947
"XP_043906620.1"	0	3111
"XP_043906793.1"	0	1875
"XP_043906890.1"	0	2649
"XP_043908133.1"	0	1638
"XP_043908246.1"	0	2520
"XP_043908913.1"	102.6	2297
"XP_043908931.1"	0	3257
"XP_043909106.1"	0	3499
"XP_043909191.1"	0	2649
"XP_043909270.1"	0	3657
"XP_043951617.1"	0	3716
"XP_043952030.1"	0	2629
"XP_043952084.1"	0	2624
"XP_043952100.1"	0	2185
"XP_043952135.1"	99.6	2725
"XP_043952628.1"	0	2920
"XP_043954218.1"	0	2182
"XP_043954714.1"	0	3447
"XP_043954910.1"	0	3111
"XP_043956140.1"	0	2993
"XP_043957340.1"	0	1716
"XP_043958325.1"	269.6	1875
"XP_043959752.1"	0	2561
"XP_043959916.1"	0	2931
"XP_043960953.1"	0	2547
"XP_043960961.1"	0	3176
"XP_043961290.1"	98.8	2311
"XP_043962527.1"	0	2615
"XP_043963290.1"	105.3	2366
"XP_043963431.1"	94.8	2180
"XP_043964601.1"	0	3420
"XP_043964635.1"	0	2413
"XP_043965570.1"	0	3227
"XP_043966509.1"	0	2520
"XP_043966553.1"	0	3444
"XP_043966792.1"	0	1912
"XP_043967848.1"	44.6	2216
"XP_043968103.1"	0	2547
"XP_043968106.1"	94.3	2587
"XP_043968268.1"	0	3203
"XP_043968298.1"	94.5	2695
"XP_043968638.1"	0	3206
"XP_043968887.1"	94.1	1843
"XP_043971927.1"	0	3353
"XP_043973025.1"	0	2547
"XP_043973269.1"	95.5	2215
"XP_043973375.1"	0	3355
"XP_043973615.1"	0	3240
"XP_043974083.1"	38.3	1950
"XP_043975053.1"	69.2	1517
"XP_043976129.1"	83.5	1999
"XP_043976297.1"	5.4	0
"XP_043976494.1"	0	3493
"XP_043977484.1"	0	3202
"XP_043977645.1"	0	1964
"XP_043978057.1"	90.9	2573
"XP_043978898.1"	0	2806
"XP_043978899.1"	0	2806
"XP_043981445.1"	46.6	1966
"XP_043981720.1"	0	2383
"XP_043981879.1"	156.3	2040
"XP_043982095.1"	0	2212
"XP_043983003.1"	0	3447
"XP_043983198.1"	0	2843
"XP_043983970.1"	0	3478
"XP_043984224.1"	13.9	0
"XP_043985743.1"	59.9	2137
"XP_043989059.1"	0	1992
"XP_043990219.1"	0	3134
"XP_043992091.1"	28.6	1594
"XP_043993480.1"	0	3318
"XP_043993622.1"	0	2687
"XP_043993891.1"	0	3595
"XP_043994018.1"	0	3504
"XP_043995452.1"	104.4	2630
"XP_043997138.1"	71.3	2098
"XP_043997155.1"	0	2248
"XP_043997467.1"	0	3496
"XP_043998690.1"	0	3728
"XP_043999067.1"	0	2150
"XP_044000413.1"	0	2788
"XP_044000576.1"	0	3019
"XP_044000591.1"	0	2185
"XP_044021575.1"	0	3811
"XP_044021793.1"	0	2122
"XP_044024274.1"	0	2602
"XP_044025841.1"	97.8	2354
"XP_044026574.1"	0	3576
"XP_044027560.1"	0	3526
"XP_044027832.1"	0	2441
"XP_044027928.1"	107.6	2611
"XP_044028576.1"	0	3295
"XP_044029190.1"	0	3671
"XP_044029418.1"	0	2929
"XP_044030664.1"	0	3117
"XP_044030722.1"	0	2506
"XP_044030783.1"	0	3019
"XP_044030857.1"	98.4	2741
"XP_044031120.1"	0	1940
"XP_044032012.1"	0	3176
"XP_044032217.1"	0	2930
"XP_044033262.1"	101.7	2617
"XP_044033482.1"	306.6	1807
"XP_044035470.1"	0	2792
"XP_044036100.1"	0	3090
"XP_044037037.1"	0	2948
"XP_044037241.1"	0	1875
"XP_044041568.1"	93	2233
"XP_044042202.1"	0	2312
"XP_044043479.1"	0	3201
"XP_044046134.1"	0	2839
"XP_044047160.1"	89.9	1646
"XP_044048205.1"	153.8	1994
"XP_044050084.1"	0	2096
"XP_044050979.1"	0	3529
"XP_044051094.1"	0	3042
"XP_044051655.1"	0	2887
"XP_044053094.1"	0	3082
"XP_044053276.1"	43.5	2264
"XP_044053376.1"	97.1	2716
"XP_044053522.1"	95	2694
"XP_044053772.1"	0	2687
"XP_044054594.1"	58	2064
"XP_044057426.1"	0	3520
"XP_044058357.1"	70.1	1463
"XP_044058722.1"	0	2126
"XP_044060069.1"	76.5	2100
"XP_044060557.1"	0	3195
"XP_044060915.1"	0	2209
"XP_044061252.1"	0	2804
"XP_044063310.1"	0	3094
"XP_044063575.1"	0	3355
"XP_044063887.1"	0	3279
"XP_044064785.1"	0	2578
"XP_044065115.1"	38.4	2119
"XP_044065412.1"	106.3	2529
"XP_044065813.1"	0	2984
"XP_044066468.1"	43.5	1990
"XP_044067073.1"	95	2670
"XP_044068113.1"	0	3203
"XP_044069065.1"	34.4	2082
"XP_044074152.1"	0	1707
"XP_044075814.1"	11	3312
"XP_044077390.1"	72.8	1789
"XP_044077596.1"	0	3377
"XP_044079232.1"	0	1489
"XP_044186374.1"	0	3111
"XP_044186630.1"	0	2877
"XP_044186942.1"	0	1881
"XP_044188236.1"	43.5	2264
"XP_044189162.1"	97.4	2686
"XP_044189172.1"	0	3019
"XP_044189442.1"	0	3014
"XP_044189490.1"	98.5	2741
"XP_044190055.1"	0	3825
"XP_044190203.1"	96.9	2716
"XP_044190359.1"	0	2640
"XP_044190854.1"	0	3490
"XP_044191139.1"	0	3576
"XP_044191171.1"	0	2667
"XP_044191592.1"	0	3225
"XP_044192685.1"	106.9	2475
"XP_044193817.1"	289.5	1624
"XP_044194750.1"	0	3176
"XP_044195037.1"	0	2964
"XP_044195887.1"	99.3	2407
"XP_044197439.1"	0	1415
"XP_044197825.1"	4.7	0
"XP_044199350.1"	0	2312
"XP_044199578.1"	97.5	2243
"XP_044200292.1"	0	3152
"XP_044202223.1"	0	2564
"XP_044202337.1"	92.8	1548
"XP_044202425.1"	0	2756
"XP_044204424.1"	96	2650
"XP_044205073.1"	0	1937
"XP_044205173.1"	0	2975
"XP_044207247.1"	45.1	2179
"XP_044208435.1"	0	3203
"XP_044208882.1"	0	3311
"XP_044210181.1"	77.8	2091
"XP_044210914.1"	65.2	1463
"XP_044211231.1"	0	3520
"XP_044211516.1"	149.6	1878
"XP_044212356.1"	0	2301
"XP_044212855.1"	9.7	0
"XP_044213127.1"	0	2578
"XP_044214228.1"	0	3152
"XP_044214588.1"	0	3355
"XP_044215344.1"	38.9	2112
"XP_044215645.1"	0	3272
"XP_044215860.1"	102.2	2398
"XP_044218201.1"	58	2064
"XP_044218862.1"	0	3545
"XP_044220034.1"	0	2171
"XP_044220448.1"	0	3748
"XP_044220554.1"	0	2933
"XP_044222890.1"	0	3244
"XP_044224310.1"	0	2019
"XP_044224750.1"	0	1853
"XP_044224943.1"	0	3022
"XP_044226339.1"	0	3377
"XP_044227375.1"	74.9	2066
"XP_044227673.1"	0	1931
"XP_044228320.1"	0	2910
"XP_044228424.1"	39.1	2020
"XP_044230098.1"	0	2100
"XP_044230871.1"	0	2889
"XP_044231742.1"	0	3746
"XP_044231972.1"	0	3451
"XP_044232157.1"	0	2507
"XP_044232977.1"	98.3	2506
"XP_045061600.1"	0	3089
"XP_045062121.1"	313.7	2887
"XP_045062747.1"	0	3302
"XP_045062767.1"	310.5	2822
"XP_045063552.1"	61.7	2096
"XP_045064256.1"	0	3194
"XP_045064658.1"	96.3	2555
"XP_045065353.1"	46.1	1837
"XP_045065389.1"	0	3302
"XP_045066397.1"	0	3013
"XP_045066537.1"	0	2360
"XP_045067076.1"	0	2884
"XP_045068565.1"	0	3187
"XP_045069175.1"	0	3477
"XP_045069243.1"	0	3187
"XP_045069244.1"	0	3187
"XP_045070009.1"	0	3089
"XP_045071901.1"	0	2578
"XP_045073085.1"	0	3463
"XP_045074473.1"	302.5	2822
"XP_045074866.1"	0	2224
"XP_045076175.1"	0	2346
"XP_045076947.1"	0	2884
"XP_045077482.1"	0	2906
"XP_045077804.1"	105.6	2662
"XP_045077808.1"	0	3559
"XP_045077822.1"	0	3459
"XP_045078362.1"	29.5	0
"XP_045078363.1"	159.6	2151
"XP_045078455.1"	45	1755
"XP_045079002.1"	0	2051
"XP_045079282.1"	0	2259
"XP_045079671.1"	0	2161
"XP_045079948.1"	87.7	2320
"XP_045080552.1"	0	3558
"XP_045080739.1"	0	3278
"XP_045081420.1"	0	3217
"XP_045082236.1"	0	3459
"XP_045082654.1"	0	3173
"XP_045082895.1"	0	3351
"XP_045542959.1"	0	3463
"XP_045544849.1"	5.8	0
"XP_045548095.1"	7.5	0
"XP_045548433.1"	0	2955
"XP_045549282.1"	46.9	1798
"XP_045549507.1"	0	3470
"XP_045551979.1"	44.8	1875
"XP_045552290.1"	0	3302
"XP_045552916.1"	0	3153
"XP_045555177.1"	0	3333
"XP_045555234.1"	0	3085
"XP_045555904.1"	0	2321
"XP_045558693.1"	94.1	2636
"XP_045558767.1"	102	2305
"XP_045559441.1"	0	3473
"XP_045559617.1"	51.3	1785
"XP_045559954.1"	0	1826
"XP_045561337.1"	0	3765
"XP_045562578.1"	0	3270
"XP_045563154.1"	0	3225
"XP_045564720.1"	0	2578
"XP_045565475.1"	0	3459
"XP_045569066.1"	76.8	2040
"XP_045572024.1"	0	2884
"XP_045573567.1"	92.1	2105
"XP_045573863.1"	308.5	2842
"XP_045575189.1"	0	3153
"XP_045576098.1"	0	2884
"XP_045577416.1"	0	1583
"XP_045578097.1"	0	2285
"XP_045578948.1"	91.9	2105
"XP_045579673.1"	0	2850
"XP_045579778.1"	0	3722
"XP_045580174.1"	0	3126
"XP_045580886.1"	76	2004
"XP_045885484.1"	0	3154
"XP_045886016.1"	0	3382
"XP_045887193.1"	0	2825
"XP_045887357.1"	0	2161
"XP_045888482.1"	0	2578
"XP_045889102.1"	0	2802
"XP_045889323.1"	0	2877
"XP_045889679.1"	0	3084
"XP_045890055.1"	0	3162
"XP_045890513.1"	0	3431
"XP_045890884.1"	0	2687
"XP_045891161.1"	0	3118
"XP_045891275.1"	0	3585
"XP_045891572.1"	43.5	2264
"XP_045891777.1"	0	2948
"XP_045892011.1"	8.1	0
"XP_045892393.1"	0	2250
"XP_045894151.1"	153.3	1955
"XP_045894790.1"	0	1875
"XP_045895359.1"	0	3377
"XP_045895821.1"	73.1	1789
"XP_045896702.1"	0	1863
"XP_045897267.1"	0	1909
"XP_045897859.1"	0	1749
"XP_045898917.1"	60.6	1556
"XP_045898931.1"	97	2716
"XP_045899222.1"	0	3203
"XP_045900123.1"	0	3355
"XP_045900129.1"	0	3176
"XP_045901064.1"	38.9	2024
"XP_045901326.1"	0	3274
"XP_045901482.1"	0	3130
"XP_045902121.1"	100.4	2371
"XP_045903617.1"	89.2	1784
"XP_045905418.1"	0	2409
"XP_045905472.1"	11.3	0
"XP_045906213.1"	57.8	2018
"XP_045906939.1"	0	3243
"XP_045908851.1"	0	1736
"XP_045909761.1"	15.5	2965
"XP_045911374.1"	0	3384
"XP_045912000.1"	42.8	2185
"XP_045913775.1"	0	3283
"XP_045913879.1"	0	3490
"XP_045914200.1"	0	3576
"XP_045914918.1"	106	2588
"XP_045915514.1"	0	2448
"XP_045915830.1"	0	1539
"XP_045916067.1"	0	2541
"XP_045916791.1"	97.5	2187
"XP_045917782.1"	101.2	2384
"XP_045918845.1"	0	2025
"XP_045918927.1"	0	3811
"XP_045922857.1"	0	3782
"XP_045923138.1"	0	2447
"XP_045923229.1"	0	2924
"XP_045923289.1"	0	3074
"XP_045923454.1"	98.5	2707
"XP_045924106.1"	301.7	1864
"XP_045926432.1"	37.6	1959
"XP_045928234.1"	0	2312
"XP_045928578.1"	93.2	2071
"XP_045928842.1"	0	3506
"XP_045929828.1"	69.3	1468
"XP_045930441.1"	75.2	2083
"XP_045931114.1"	0	1989
"XP_045932037.1"	94.2	2479
"XP_046146855.1"	101.6	2446
"XP_046146924.1"	0	2887
"XP_046148635.1"	0	3102
"XP_046149147.1"	84.7	2465
"XP_046149468.1"	0	1732
"XP_046149492.1"	0	3173
"XP_046150409.1"	53.3	1813
"XP_046151448.1"	0	2030
"XP_046152978.1"	0	2306
"XP_046153490.1"	85.2	2097
"XP_046154576.1"	0	2790
"XP_046155287.1"	84.3	2479
"XP_046157338.1"	61.5	1832
"XP_046157817.1"	34.3	1943
"XP_046158766.1"	0	3187
"XP_046159147.1"	0	3093
"XP_046159711.1"	71.8	1824
"XP_046160250.1"	0	2884
"XP_046160383.1"	0	3019
"XP_046160802.1"	34.1	0
"XP_046160858.1"	0	3064
"XP_046161235.1"	0	1821
"XP_046161551.1"	0	2934
"XP_046162679.1"	0	3436
"XP_046162996.1"	0	2749
"XP_046163302.1"	0	2422
"XP_046163963.1"	0	1495
"XP_046165081.1"	0	2237
"XP_046165673.1"	0	3322
"XP_046167504.1"	0	1920
"XP_046170384.1"	0	3187
"XP_046171058.1"	76.5	2004
"XP_046171533.1"	0	3089
"XP_046171990.1"	57.6	1787
"XP_046172094.1"	0	3463
"XP_046172276.1"	33.1	1890
"XP_046172739.1"	102.6	2785
"XP_046172856.1"	0	3541
"XP_046173648.1"	0	2469
"XP_046174434.1"	0	1508
"XP_046178277.1"	0	3187
"XP_046179938.1"	0	3543
"XP_046180629.1"	305.8	2651
"XP_046180648.1"	94.8	1676
"XP_046181008.1"	0	3126
"XP_046181461.1"	0	3509
"XP_046182462.1"	0	3559
"XP_046182490.1"	0	3075
"XP_046183285.1"	0	3459
"XP_046183549.1"	0	1501
"XP_046183569.1"	99.8	2467
"XP_046184529.1"	0	1420
"XP_046184824.1"	87.3	2079
"XP_046185761.1"	0	2306
"XP_046186124.1"	0	2161
"XP_046186506.1"	0	2884
"XP_046186556.1"	0	1821
"XP_046186747.1"	0	3064
"XP_046189373.1"	0	3450
"XP_046189774.1"	0	2578
"XP_046190937.1"	0	3049
"XP_046191125.1"	0	3789
"XP_046192101.1"	0	2335
"XP_046192313.1"	0	3378
"XP_046193365.1"	0	3209
"XP_046194948.1"	99.7	2191
"XP_046195479.1"	0	2018
"XP_046197516.1"	55.8	1507
"XP_046198866.1"	91.1	2638
"XP_046199473.1"	0	3533
"XP_046199541.1"	46.7	1976
"XP_046200485.1"	0	3302
"XP_046201121.1"	102.4	2701
"XP_046201412.1"	42.1	2312
"XP_046202280.1"	152.6	2074
"XP_046202480.1"	92	2619
"XP_046203061.1"	0	3351
"XP_046203247.1"	0	3116
"XP_046203480.1"	0	3270
"XP_046203589.1"	0	2538
"XP_046203638.1"	0	3491
"XP_046204235.1"	152.3	2082
"XP_046204275.1"	0	3184
"XP_046205649.1"	39.2	1487
"XP_046207218.1"	0	3082
"XP_046207426.1"	42.2	2312
"XP_046207521.1"	0	2492
"XP_046207795.1"	33	0
"XP_046208902.1"	61.6	2096
"XP_046210608.1"	275.8	1871
"XP_046210925.1"	101	2459
"XP_046212689.1"	159.4	2186
"XP_046213164.1"	284.7	1911
"XP_046213659.1"	0	2752
"XP_046213883.1"	37.4	2076
"XP_046215783.1"	0	3172
"XP_046218471.1"	0	3500
"XP_046218519.1"	0	3475
"XP_046219994.1"	0	3559
"XP_046220250.1"	0	3549
"XP_046222044.1"	0	3302
"XP_046222265.1"	46.6	1922
"XP_046222505.1"	0	2207
"XP_046223238.1"	0	2331
"XP_046223485.1"	0	2812
"XP_046223714.1"	0	3701
"XP_046223947.1"	102.6	2683
"XP_046223957.1"	0	3477
"XP_046224038.1"	45	1797
"XP_046225605.1"	0	2603
"XP_046225641.1"	0	1518
"XP_046225866.1"	0	3019
"XP_046226052.1"	0	2518
"XP_046227203.1"	0	3176
"XP_046227785.1"	104.2	2785
"XP_046227873.1"	0	3031
"XP_046228360.1"	0	2384
"XP_046229783.1"	97.4	2495
"XP_046230282.1"	0	3019
"XP_046230471.1"	0	2921
"XP_046230724.1"	0	3689
"XP_046231367.1"	0	2697
"XP_046232032.1"	98.3	2741
"XP_046232608.1"	300.7	1849
"XP_046234390.1"	92.2	2032
"XP_046234903.1"	0	2268
"XP_046237780.1"	0	3082
"XP_046237956.1"	0	1940
"XP_046238365.1"	0	1946
"XP_046238932.1"	0	1893
"XP_046239343.1"	93.2	2866
"XP_046239789.1"	0	3045
"XP_046240062.1"	0	2783
"XP_046240695.1"	0	3122
"XP_046241617.1"	0	3536
"XP_046241767.1"	93.7	2701
"XP_046241859.1"	43.8	2264
"XP_046242465.1"	97	2716
"XP_046242794.1"	0	3082
"XP_046243452.1"	0	2958
"XP_046243729.1"	0	2721
"XP_046243897.1"	0	3370
"XP_046244629.1"	67.3	1673
"XP_046244985.1"	0	3520
"XP_046245741.1"	76.8	2162
"XP_046248323.1"	58.7	2068
"XP_046249079.1"	150.4	1721
"XP_046249592.1"	0	2456
"XP_046251455.1"	0	1940
"XP_046251816.1"	0	3203
"XP_046252643.1"	0	2578
"XP_046252966.1"	0	3383
"XP_046253176.1"	0	2693
"XP_046253889.1"	45.6	2261
"XP_046254356.1"	0	3239
"XP_046255316.1"	0	3355
"XP_046256230.1"	97.7	2526
"XP_046256373.1"	39	2180
"XP_046256685.1"	0	3262
"XP_046256833.1"	0	1675
